name,label
test\01nWcziU3M.jpg,21
test\02zJddhgaT.jpg,13
test\04QrNpriH7.jpg,20
test\04Ted4Hpzs.jpg,18
test\05Alxs38hT.jpg,13
test\06HM4K4jsU.jpg,10
test\06WFkrCP3v.jpg,15
test\07FJX2pKUP.jpg,6
test\08EyPn5MZH.jpg,4
test\08S7Mt39wf.jpg,15
test\08UQYVH3mV.jpg,15
test\09GMpEhuOX.jpg,17
test\09HaCd60iw.jpg,8
test\09UfLYjAxq.jpg,6
test\0AbYicPTwH.jpg,19
test\0Asv4Akj6h.jpg,11
test\0BSexCGGws.jpg,24
test\0BsKmWL1fm.jpg,1
test\0CIURLM70s.jpg,21
test\0DRTxn1Gg4.jpg,8
test\0E3OuGGPgu.jpg,8
test\0FtpujBtva.jpg,23
test\0Fwtul4qbw.jpg,11
test\0GOgZOgpAJ.jpg,13
test\0GwRJlzlzg.jpg,22
test\0HOgpIhedx.jpg,4
test\0HjyjdRfBi.jpg,21
test\0IlT9ViGQi.jpg,13
test\0JDEJzsIS2.jpg,24
test\0JVcNkRXBr.jpg,17
test\0LS8heSjay.jpg,9
test\0LujSsW6SH.jpg,19
test\0ME0zDoBLm.jpg,14
test\0Nnb4OMTWg.jpg,14
test\0Nqtpm7FEK.jpg,17
test\0P6D8LI2Ql.jpg,14
test\0QdvmwhDTc.jpg,17
test\0QnRh911Zi.jpg,0
test\0RARycRGr5.jpg,9
test\0RcgrbmMbi.jpg,10
test\0SdqQa5Xos.jpg,19
test\0T0rjp1vLl.jpg,9
test\0TiepXHYmD.jpg,13
test\0TxwNCtRkS.jpg,3
test\0UUeTETrf5.jpg,24
test\0V4LUbroyG.jpg,6
test\0W1kL9muQN.jpg,3
test\0W6WH4Y2tk.jpg,20
test\0X8OigM298.jpg,14
test\0YDmuFDiU7.jpg,8
test\0Z9r7AhgGj.jpg,24
test\0ZBFIcTgFV.jpg,6
test\0ZEoRYD4qw.jpg,24
test\0aiI2fk7gK.jpg,2
test\0bOpeUTW0h.jpg,0
test\0c3IA3xWRB.jpg,21
test\0cR1I1Xz8B.jpg,13
test\0dJV0pqlm4.jpg,3
test\0dU7nA8JmO.jpg,7
test\0fCRJwVFNy.jpg,9
test\0fN3Mgumyg.jpg,5
test\0fNrdDQYU2.jpg,12
test\0hqGVkjts0.jpg,2
test\0hyxylvX3X.jpg,15
test\0i9F5BlrQt.jpg,7
test\0idA3i5N6i.jpg,13
test\0ilfDnW7ox.jpg,4
test\0k8r9M9EWm.jpg,22
