uuid,label_5,label_10,label_20,label_40,label_60
0,2,2,2,2,2
1,1,2,2,2,2
2,1,2,2,2,2
3,1,1,2,2,2
4,1,0,1,2,2
5,1,2,1,2,2
6,1,0,1,2,2
7,2,2,2,2,2
8,2,2,2,2,2
9,1,2,2,2,2
10,2,2,2,2,2
11,1,2,2,2,2
12,1,2,1,2,2
13,2,2,2,2,2
14,1,2,2,2,2
15,1,2,1,2,2
16,1,1,2,2,2
17,1,1,2,2,2
18,1,2,2,2,2
19,2,2,2,2,2
20,1,2,1,2,2
21,1,2,2,0,2
22,1,2,1,2,2
23,1,2,1,0,2
24,1,0,1,0,2
25,1,1,1,2,2
26,1,0,1,0,2
27,2,2,1,2,2
28,1,1,1,0,2
29,1,2,1,2,2
30,1,2,1,2,2
31,2,2,2,2,2
32,0,0,1,0,2
33,1,1,1,2,2
34,1,2,1,2,2
35,1,1,1,2,2
36,1,1,1,2,2
37,1,0,1,2,2
38,2,2,1,2,2
39,1,1,1,2,2
40,1,2,2,2,2
41,1,0,1,2,2
42,1,0,1,2,2
43,0,0,2,2,2
44,1,2,2,2,2
45,0,2,2,2,2
46,1,1,1,2,2
47,1,0,1,2,2
48,1,0,2,2,2
49,1,2,2,2,2
50,1,0,1,2,2
51,1,0,1,2,2
52,0,0,0,0,2
53,1,2,2,2,2
54,2,0,2,2,2
55,1,2,2,2,2
56,1,2,2,2,2
57,1,0,1,2,2
58,0,0,1,2,2
59,2,2,2,2,2
60,2,2,2,2,2
61,0,0,2,2,2
62,0,0,2,2,2
63,1,0,2,2,2
64,1,2,2,2,2
65,1,1,1,2,2
66,1,2,2,2,2
67,1,2,2,2,2
68,1,2,2,2,2
69,1,2,2,2,2
70,1,1,2,2,2
71,1,2,2,2,2
72,1,2,2,2,2
73,1,2,2,2,2
74,1,1,1,2,2
75,1,2,2,2,2
76,1,0,2,2,2
77,1,0,1,2,2
78,1,0,1,2,2
79,0,0,2,2,2
80,0,0,2,2,2
81,1,0,2,2,2
82,1,2,2,2,2
83,1,2,2,2,2
84,1,2,2,2,2
85,1,2,2,2,2
86,1,2,2,2,2
87,1,2,2,2,2
88,1,2,2,2,2
89,1,2,2,2,2
90,1,2,2,2,2
91,1,2,2,2,2
92,1,2,2,2,2
93,1,2,2,2,2
94,2,2,2,2,2
95,1,2,2,2,2
96,1,2,2,2,2
97,2,2,2,2,2
98,2,2,2,2,2
99,2,2,2,2,2
100,2,2,2,2,2
101,1,2,2,2,2
102,1,2,2,2,2
103,2,2,2,2,2
104,1,2,2,2,2
105,1,2,1,2,2
106,1,2,2,2,2
107,1,2,2,2,2
108,1,2,2,2,2
109,1,2,2,2,2
110,1,2,2,2,2
111,1,2,2,2,2
112,1,2,2,2,2
113,1,2,2,2,2
114,2,2,2,2,2
115,1,2,2,2,2
116,1,2,2,2,2
117,1,2,2,2,2
118,2,2,2,2,2
119,1,2,2,2,2
120,2,2,2,2,2
121,1,2,2,2,2
122,2,2,2,2,2
123,1,2,2,2,2
124,1,2,2,2,2
125,2,2,2,2,2
126,2,2,2,2,2
127,2,2,2,2,2
128,2,2,2,2,2
129,2,2,2,2,2
130,1,2,2,2,2
131,1,2,2,2,2
132,2,2,2,2,2
133,2,2,2,2,2
134,2,2,2,2,2
135,2,2,2,2,2
136,2,2,2,2,2
137,2,2,2,2,2
138,0,2,2,2,2
139,1,2,2,2,2
140,1,2,2,2,2
141,1,2,2,2,2
142,1,0,2,2,2
143,1,2,2,2,2
144,1,2,2,2,2
145,2,2,2,2,2
146,1,2,2,2,2
147,1,2,2,2,2
148,2,2,2,2,2
149,2,2,2,2,2
150,2,2,2,2,2
151,1,2,2,2,2
152,1,2,2,2,2
153,1,2,2,2,2
154,2,2,2,2,2
155,2,2,2,2,2
156,2,2,2,2,2
157,1,2,2,2,2
158,1,2,2,2,2
159,1,2,2,2,2
160,1,2,2,2,2
161,1,2,1,2,2
162,1,2,1,2,2
163,1,1,1,2,2
164,1,2,2,2,2
165,1,2,2,2,2
166,1,2,2,2,2
167,1,2,2,2,2
168,1,2,1,2,2
169,1,2,1,2,2
170,1,1,1,2,2
171,1,2,1,2,2
172,1,1,1,2,2
173,1,2,2,2,2
174,1,2,2,2,2
175,1,1,1,2,2
176,1,2,1,2,2
177,1,2,1,2,2
178,1,1,1,2,2
179,1,1,1,2,2
180,1,1,1,2,2
181,1,1,1,2,2
182,1,1,1,2,2
183,1,1,1,2,2
184,1,0,1,2,2
185,1,1,1,2,2
186,1,0,1,2,2
187,1,2,2,2,2
188,1,2,1,2,2
189,1,1,1,2,2
190,1,1,1,2,2
191,1,2,2,2,2
192,1,1,1,2,2
193,1,2,1,2,2
194,1,1,1,2,2
195,1,1,1,2,2
196,1,2,1,2,2
197,0,0,1,0,2
198,0,0,2,0,2
199,2,2,2,2,2
200,2,2,2,2,2
201,2,2,2,2,2
202,1,2,1,2,2
203,1,1,1,2,2
204,1,2,2,2,2
205,1,1,1,2,2
206,1,2,2,2,2
207,1,0,1,2,2
208,1,2,1,2,2
209,1,1,1,2,2
210,1,2,1,2,2
211,1,2,1,2,2
212,1,2,1,2,2
213,1,1,1,2,2
214,1,1,1,2,2
215,1,2,1,2,2
216,1,1,1,2,2
217,1,1,1,2,2
218,1,1,1,2,2
219,1,1,1,2,2
220,1,2,1,2,2
221,1,1,1,2,2
222,1,1,1,2,2
223,1,2,1,2,2
224,2,2,2,2,2
225,1,2,2,2,2
226,1,2,2,2,2
227,2,2,2,2,2
228,0,0,2,2,2
229,1,2,1,2,2
230,1,2,1,2,2
231,1,1,1,2,2
232,1,1,1,2,2
233,1,0,2,2,2
234,1,1,1,2,2
235,1,2,1,2,2
236,1,2,2,2,2
237,1,1,1,2,2
238,1,1,1,2,2
239,1,1,1,2,2
240,1,1,1,2,2
241,1,1,1,2,2
242,1,1,1,2,2
243,1,1,1,2,2
244,1,1,1,2,2
245,1,1,1,2,2
246,1,1,1,2,2
247,1,1,1,2,2
248,1,1,1,2,2
249,1,1,1,2,2
250,1,1,1,2,2
251,1,1,1,2,2
252,1,1,2,2,2
253,1,1,1,2,2
254,1,1,1,2,2
255,1,1,2,2,2
256,1,1,1,2,2
257,1,1,2,2,2
258,1,1,2,2,2
259,1,1,2,2,2
260,1,1,1,2,2
261,1,2,2,2,2
262,1,2,1,2,2
263,1,1,1,2,2
264,1,1,1,2,2
265,1,1,1,2,2
266,1,1,1,2,2
267,1,1,1,2,2
268,1,1,1,2,2
269,1,1,1,2,2
270,1,2,2,2,2
271,1,2,2,2,2
272,1,1,1,2,2
273,1,1,1,2,2
274,1,1,1,2,2
275,1,1,1,2,2
276,1,1,1,2,2
277,1,1,1,2,2
278,1,1,1,2,2
279,1,1,1,1,2
280,1,1,1,2,2
281,1,2,1,2,2
282,1,1,1,2,2
283,1,1,1,2,2
284,1,1,1,2,2
285,1,1,1,2,2
286,1,1,1,2,2
287,1,1,1,2,2
288,1,1,1,2,2
289,1,1,1,2,2
290,1,1,1,2,2
291,1,1,1,2,2
292,1,1,2,2,2
293,1,1,1,2,2
294,1,1,1,2,2
295,1,1,1,2,2
296,1,1,1,2,2
297,1,1,1,2,2
298,1,1,1,2,2
299,1,1,1,2,2
300,1,1,1,2,2
301,1,1,1,2,2
302,1,1,1,1,2
303,1,1,1,2,2
304,1,1,1,2,2
305,1,1,1,2,2
306,1,1,1,2,2
307,1,1,1,2,2
308,1,2,1,2,2
309,1,2,2,2,2
310,1,2,2,2,2
311,1,1,1,2,2
312,1,1,1,2,0
313,2,2,2,2,2
314,1,1,1,2,2
315,1,2,1,2,2
316,1,1,1,2,2
317,1,1,1,2,2
318,1,1,1,2,2
319,1,1,1,0,0
320,1,2,1,0,0
321,1,1,1,0,0
322,1,2,1,0,0
323,1,2,1,0,0
324,1,1,1,0,0
325,1,1,1,1,0
326,1,1,1,0,0
327,1,1,1,0,0
328,1,0,1,0,0
329,1,0,1,0,0
330,1,0,1,0,0
331,1,0,1,0,0
332,1,0,1,0,0
333,0,0,1,0,0
334,0,0,1,0,0
335,1,0,1,0,0
336,1,1,1,0,0
337,1,1,1,0,0
338,1,1,1,0,0
339,1,1,1,0,0
340,1,1,1,0,0
341,1,1,1,0,0
342,1,1,1,0,0
343,1,1,1,0,0
344,1,1,1,0,0
345,1,1,1,0,0
346,1,1,1,0,0
347,1,1,1,0,0
348,1,1,1,0,0
349,1,1,1,0,0
350,1,1,1,0,0
351,1,1,1,0,0
352,1,1,1,0,0
353,1,1,1,0,0
354,1,1,1,0,0
355,1,1,1,0,0
356,1,1,1,0,0
357,1,1,1,0,0
358,1,1,1,0,0
359,1,1,1,0,0
360,1,1,1,0,0
361,1,1,1,0,0
362,1,1,1,0,0
363,1,1,1,0,0
364,1,1,1,0,0
365,1,1,1,0,0
366,1,1,1,0,0
367,1,1,1,0,0
368,1,1,1,0,0
369,1,1,1,0,0
370,1,1,1,0,0
371,1,1,1,0,0
372,1,1,1,0,0
373,1,1,1,0,0
374,1,0,1,0,0
375,1,1,1,0,0
376,1,1,1,0,0
377,1,2,1,0,0
378,1,1,1,0,0
379,1,1,1,0,0
380,1,1,1,0,0
381,1,1,1,0,0
382,1,1,1,0,0
383,1,1,1,0,0
384,1,1,1,0,0
385,1,1,1,0,0
386,1,1,1,0,0
387,1,1,1,0,0
388,1,1,1,0,0
389,1,1,1,0,0
390,1,1,1,1,0
391,1,1,1,0,0
392,1,1,1,0,0
393,1,1,1,0,0
394,1,1,1,0,0
395,1,1,1,0,0
396,1,1,1,0,0
397,1,1,1,0,0
398,1,1,1,0,0
399,1,1,1,2,2
400,1,1,1,2,2
401,1,1,1,2,2
402,1,1,1,2,2
403,1,1,1,2,2
404,1,1,1,2,2
405,1,1,1,2,2
406,1,1,1,2,2
407,1,1,1,1,1
408,1,1,1,2,2
409,1,1,1,2,2
410,1,1,1,2,2
411,1,1,1,2,2
412,1,1,1,1,2
413,1,1,1,2,2
414,1,1,1,2,2
415,1,1,1,2,2
416,1,1,1,2,2
417,1,1,1,2,2
418,1,1,1,2,2
419,1,1,1,2,2
420,1,2,1,2,2
421,1,1,1,1,2
422,1,1,1,1,2
423,1,1,1,1,2
424,1,1,1,1,2
425,1,1,1,2,2
426,1,1,1,2,2
427,1,2,1,2,2
428,1,1,1,2,2
429,1,1,1,2,2
430,1,1,1,1,2
431,1,1,1,2,2
432,1,2,1,2,2
433,1,1,1,2,2
434,1,2,1,2,2
435,1,2,1,2,2
436,1,2,1,2,2
437,1,2,1,2,2
438,2,2,1,2,2
439,1,2,1,2,2
440,2,2,1,2,2
441,1,2,1,2,2
442,1,2,1,2,2
443,2,2,2,2,2
444,2,2,1,2,2
445,1,2,1,2,2
446,1,2,1,2,2
447,2,2,1,2,2
448,1,2,1,2,2
449,1,1,1,2,2
450,1,2,1,2,2
451,1,2,1,2,2
452,1,2,1,2,2
453,1,2,1,2,2
454,2,2,2,2,2
455,1,2,1,1,2
456,1,2,2,2,2
457,1,1,1,2,2
458,1,1,1,2,2
459,1,1,1,2,2
460,1,2,1,2,2
461,1,2,2,2,2
462,1,1,1,2,2
463,1,1,1,2,2
464,1,1,1,2,2
465,1,1,1,2,2
466,1,2,2,2,2
467,1,2,2,2,2
468,1,0,0,2,2
469,2,2,2,2,2
470,1,0,0,2,2
471,0,2,2,2,2
472,2,2,2,2,2
473,0,2,2,2,2
474,1,2,2,2,2
475,1,2,2,2,2
476,0,0,0,2,2
477,2,2,2,2,2
478,2,2,1,2,2
479,2,2,2,2,2
480,2,2,0,2,2
481,2,2,2,2,2
482,2,2,2,2,2
483,0,2,2,2,2
484,1,2,2,2,2
485,0,2,0,2,2
486,0,0,0,2,0
487,2,2,2,2,2
488,2,2,0,2,2
489,2,2,2,2,2
490,1,0,0,2,0
491,0,0,0,2,2
492,1,2,0,2,2
493,0,2,0,2,2
494,1,2,0,2,2
495,1,2,0,2,0
496,1,2,0,2,0
497,1,2,0,2,2
498,1,2,0,2,0
499,0,2,2,2,0
500,2,2,2,2,2
501,0,0,0,2,0
502,1,2,0,2,0
503,1,2,0,2,2
504,1,2,2,2,2
505,0,2,2,2,2
506,1,2,2,2,2
507,1,2,2,2,2
508,1,2,2,2,2
509,2,2,2,2,2
510,1,2,2,2,2
511,1,2,2,2,2
512,1,2,2,2,2
513,2,2,2,2,2
514,2,2,2,2,2
515,1,2,2,2,2
516,1,2,2,2,2
517,2,2,2,2,2
518,2,2,2,2,2
519,1,2,2,2,2
520,2,2,2,2,2
521,1,2,2,2,2
522,2,2,2,2,2
523,1,2,2,2,2
524,1,2,2,2,2
525,1,0,2,2,2
526,1,0,2,2,2
527,1,0,2,2,2
528,1,0,0,2,2
529,1,0,2,2,2
530,1,0,2,2,2
531,1,0,2,2,2
532,1,1,2,2,2
533,1,0,2,2,2
534,1,1,2,2,2
535,1,2,2,2,2
536,0,0,2,2,2
537,1,0,0,2,2
538,2,2,2,2,2
539,2,2,2,2,2
540,2,2,2,2,2
541,1,2,2,2,2
542,0,0,2,2,2
543,0,0,2,2,2
544,1,1,2,2,2
545,1,0,2,2,2
546,2,2,2,2,2
547,1,0,2,2,2
548,1,2,2,2,0
